project	count	link	description	rank	growing_fast
async	111,583	http://pypi.python.org/pypi/async/0.6.1	Async Framework	467th	false
isodate	111,354	http://pypi.python.org/pypi/isodate/0.4.9	An ISO 8601 date/time/duration parser and formater	468th	true
zc.recipe.cmmi	111,112	http://pypi.python.org/pypi/zc.recipe.cmmi/1.3.5	ZC Buildout recipe for configure/make/make install	469th	false
Products.MimetypesRegistry	110,467	http://pypi.python.org/pypi/Products.MimetypesRegistry/2.0.4	MIME type handling for Zope	470th	false
zope.app.schema	110,381	http://pypi.python.org/pypi/zope.app.schema/3.5.0	Component Architecture based Vocabulary Registry	471st	false
cov-core	110,181	http://pypi.python.org/pypi/cov-core/1.7	plugin core for use by pytest-cov, nose-cov and nose2-cov	472nd	true
Products.ATReferenceBrowserWidget	110,160	http://pypi.python.org/pypi/Products.ATReferenceBrowserWidget/2.0.8	ATReferenceBrowserWidget is reference widget for Archetypes.	473rd	false
path.py	109,966	http://pypi.python.org/pypi/path.py/3.2	A module wrapper for os.path	474th	true
zope.app.applicationcontrol	109,942	http://pypi.python.org/pypi/zope.app.applicationcontrol/3.5.10	Zope application control	475th	false
django-waffle	109,543	http://pypi.python.org/pypi/django-waffle/0.9.1	A feature flipper for Django.	476th	false
DecoratorTools	108,862	http://pypi.python.org/pypi/DecoratorTools/1.8	Class, function, and metaclass decorators -- even in Python 2.3 (now with source debugging for generated code)!	477th	false
plonetheme.sunburst	108,833	http://pypi.python.org/pypi/plonetheme.sunburst/1.4.1	The default theme for Plone 4.	478th	false
zope.app.folder	108,133	http://pypi.python.org/pypi/zope.app.folder/3.5.2	Folder Content Type for Zope 3	479th	false
zope.app.content	107,702	http://pypi.python.org/pypi/zope.app.content/3.5.1	Zope Content Type	480th	false
BIP	107,576	http://pypi.python.org/pypi/BIP/0.5.12	Bayesian Inference Tools for Python	481st	false
Products.CMFDiffTool	107,574	http://pypi.python.org/pypi/Products.CMFDiffTool/2.0.2	Diff tool for Plone	482nd	false
chai	107,537	http://pypi.python.org/pypi/chai/0.3.1	Easy to use mocking/stub framework.	483rd	true
Products.CMFDefault	107,230	http://pypi.python.org/pypi/Products.CMFDefault/2.2.3	Default product for the Zope Content Management Framework	484th	false
ExtensionClass	107,071	http://pypi.python.org/pypi/ExtensionClass/4.1a1	Metaclass for subclassable extension types	485th	false
cssselect	106,846	http://pypi.python.org/pypi/cssselect/0.8		486th	true
plone.recipe.plone	106,814	http://pypi.python.org/pypi/plone.recipe.plone/3.1.7	Install Plone	487th	false
notifo	106,433	http://pypi.python.org/pypi/notifo/0.3.0	Python library for the notifo.com API	488th	false
zope.broken	105,834	http://pypi.python.org/pypi/zope.broken/3.6.0	Zope Broken Object Interfaces	489th	false
lava-dispatcher	105,766	http://pypi.python.org/pypi/lava-dispatcher/0.32.2	Part of the LAVA framework for dispatching test jobs	490th	false
ConcurrentLogHandler	105,670	http://pypi.python.org/pypi/ConcurrentLogHandler/0.8.4	Concurrent logging handler (drop-in replacement for RotatingFileHandler)	491st	false
zope.app.zcmlfiles	104,629	http://pypi.python.org/pypi/zope.app.zcmlfiles/3.7.1	Zope application server ZCML files	492nd	false
Products.kupu	104,477	http://pypi.python.org/pypi/Products.kupu/1.5.1	UNKNOWN	493rd	false
dj-database-url	104,274	http://pypi.python.org/pypi/dj-database-url/0.2.1	Use Database URLs in your Django Application.	494th	false
Products.DCWorkflow	104,246	http://pypi.python.org/pypi/Products.DCWorkflow/2.3.0-beta	DCWorkflow product for the Zope Content Management Framework	495th	false
z3c.autoinclude	104,193	http://pypi.python.org/pypi/z3c.autoinclude/0.3.4	Automatically include ZCML	496th	false
django-oscar	104,177	http://pypi.python.org/pypi/django-oscar/0.4.9	A domain-driven e-commerce framework for Django 1.3+	497th	false
smmap	104,168	http://pypi.python.org/pypi/smmap/0.8.2	A pure git implementation of a sliding window memory map manager	498th	false
Products.PluginRegistry	104,144	http://pypi.python.org/pypi/Products.PluginRegistry/1.3	Configure application plugins based on interfaces	499th	false
zope.processlifetime	103,796	http://pypi.python.org/pypi/zope.processlifetime/2.0.0	Zope process lifetime events	500th	false
cloud	103,790	http://pypi.python.org/pypi/cloud/2.7.9	PiCloud client-side library	501st	false
Products.ExtendedPathIndex	103,775	http://pypi.python.org/pypi/Products.ExtendedPathIndex/3.1	Zope catalog index for paths	502nd	false
tweepy	103,454	http://pypi.python.org/pypi/tweepy/2.0	Twitter library for python	503rd	false
PyOpenGL	103,363	http://pypi.python.org/pypi/PyOpenGL/3.0.2	Standard OpenGL bindings for Python	504th	true
http-parser	102,755	http://pypi.python.org/pypi/http-parser/0.8.1	http request/response parser	505th	true
Ming	102,366	http://pypi.python.org/pypi/Ming/0.3.3dev-20130322	Bringing order to Mongo since 2009	506th	false
python-glanceclient	102,321	http://pypi.python.org/pypi/python-glanceclient/0.9.0	Client library for OpenStack Glance API	507th	false
zope.app.http	102,294	http://pypi.python.org/pypi/zope.app.http/4.0.0a1.dev	HTTP Behavior for the Zope Publisher	508th	false
cubicweb	101,907	http://pypi.python.org/pypi/cubicweb/3.17.0	a repository of entities / relations for knowledge management	509th	false
zope.securitypolicy	101,873	http://pypi.python.org/pypi/zope.securitypolicy/4.0.0a1	Default security policy for Zope3	510th	false
collective.js.jqueryui	101,777	http://pypi.python.org/pypi/collective.js.jqueryui/1.10.3	JQueryUI ready to be included in portal_javascript for Plone 4	511th	false
tox	101,505	http://pypi.python.org/pypi/tox/1.4.3	virtualenv-based automation of test activities	512th	true
Paver	101,379	http://pypi.python.org/pypi/Paver/1.2.0	Easy build, distribution and deployment scripting	513th	false
fedmsg	100,984	http://pypi.python.org/pypi/fedmsg/0.6.8	Fedora Messaging Client API	514th	false
pyramid_tm	100,799	http://pypi.python.org/pypi/pyramid_tm/0.7	A package which allows Pyramid requests to join the active transaction	515th	true
rospkg	100,535	http://pypi.python.org/pypi/rospkg/1.0.19	ROS package library	516th	false
Products.Marshall	100,432	http://pypi.python.org/pypi/Products.Marshall/2.1.2	Configurable Marshallers for Archetypes	517th	false
markdown2	100,289	http://pypi.python.org/pypi/markdown2/2.1.0	A fast and complete Python implementaion of Markdown	518th	true
beanstalk-stack	100,237	http://pypi.python.org/pypi/beanstalk-stack/0.1.92	Django base for common use	519th	false
Products.CMFCalendar	100,143	http://pypi.python.org/pypi/Products.CMFCalendar/2.3.0-beta	Calendar product for the Zope Content Management Framework	520th	false
FeinCMS	99,644	http://pypi.python.org/pypi/FeinCMS/1.7.4	Django-based Page CMS and CMS building toolkit.	521st	false
zope.app.debug	99,532	http://pypi.python.org/pypi/zope.app.debug/3.4.1	Zope Debug Mode	522nd	false
pymatgen	99,271	http://pypi.python.org/pypi/pymatgen/2.7.1	pymatgen is the Python library powering the Materials Project (www.materialsproject.org).	523rd	false
zest.releaser	98,969	http://pypi.python.org/pypi/zest.releaser/3.45	Software releasing made easy and repeatable	524th	false
django-kombu	98,806	http://pypi.python.org/pypi/django-kombu/0.9.4	Kombu transport using the Django database as a message store.	525th	false
zope.hookable	98,582	http://pypi.python.org/pypi/zope.hookable/4.0.1	Zope hookable	526th	true
textile	98,290	http://pypi.python.org/pypi/textile/2.1.5	Textile processing for python.	527th	false
pywurfl	98,258	http://pypi.python.org/pypi/pywurfl/7.2.1	pywurfl - Python tools for processing and querying the Wireless Universal Resource File (WURFL)	528th	false
django-annoying	98,044	http://pypi.python.org/pypi/django-annoying/0.7.7	This is a django application that tries to eliminate annoying things in the Django framework.	529th	false
Products.CMFUid	97,959	http://pypi.python.org/pypi/Products.CMFUid/2.3.0-beta	Uid product for the Zope Content Management Framework	530th	false
d2to1	97,781	http://pypi.python.org/pypi/d2to1/0.2.10	Allows using distutils2-like setup.cfg files for a package's metadata
with a distribute/setuptools setup.py	531st	true
Persistence	97,475	http://pypi.python.org/pypi/Persistence/2.13.2	Persistent ExtensionClass	532nd	false
Products.PloneTestCase	97,287	http://pypi.python.org/pypi/Products.PloneTestCase/0.9.16	Integration testing framework for Plone.	533rd	false
zope.app.i18n	97,230	http://pypi.python.org/pypi/zope.app.i18n/3.6.4	Persistent translation domains and message catalogs	534th	false
Products.ExternalEditor	96,983	http://pypi.python.org/pypi/Products.ExternalEditor/1.1.0	Zope External Editor	535th	false
Extremes	96,890	http://pypi.python.org/pypi/Extremes/1.1.1	Production-quality 'Min' and 'Max' objects (adapted from PEP 326)	536th	false
titlecase	96,702	http://pypi.python.org/pypi/titlecase/0.5.1	Python Port of John Gruber's titlecase.pl	537th	false
oauth	96,363	http://pypi.python.org/pypi/oauth/1.0.1	Library for OAuth version 1.0a.	538th	false
tempstorage	96,055	http://pypi.python.org/pypi/tempstorage/2.12.2	A RAM-based storage for ZODB	539th	false
zerigodns	95,959	http://pypi.python.org/pypi/zerigodns/0.3	Python package to interface with Zerigo DNS API.	540th	false
plone.app.users	95,918	http://pypi.python.org/pypi/plone.app.users/1.1.5	A package for all things users and groups related (specific to plone)	541st	false
web.py	95,751	http://pypi.python.org/pypi/web.py/0.37	web.py: makes web apps	542nd	false
Products.SecureMailHost	95,729	http://pypi.python.org/pypi/Products.SecureMailHost/1.1.2	SecureMailHost is a reimplementation of the standard Zope2 MailHost with some security and usability enhancements.	543rd	false
setproctitle	95,609	http://pypi.python.org/pypi/setproctitle/1.1.7	A library to allow customization of the process title.	544th	true
stripe	94,916	http://pypi.python.org/pypi/stripe/1.9.1	Stripe python bindings	545th	false
urllib3	94,716	http://pypi.python.org/pypi/urllib3/1.6	HTTP library with thread-safe connection pooling, file post, and more.	546th	true
Products.CMFActionIcons	94,695	http://pypi.python.org/pypi/Products.CMFActionIcons/2.1.3	Action icons product for the Zope Content Management Framework	547th	false
Products.validation	94,682	http://pypi.python.org/pypi/Products.validation/2.0	Data validation package for Archetypes	548th	false
altgraph	94,653	http://pypi.python.org/pypi/altgraph/0.10.2	Python graph (network) package	549th	true
jsbridge	94,394	http://pypi.python.org/pypi/jsbridge/3.0rc3	Python to JavaScript bridge interface.	550th	false
alembic	94,219	http://pypi.python.org/pypi/alembic/0.5.0	A database migration tool for SQLAlchemy.	551st	true
pyopencl	94,046	http://pypi.python.org/pypi/pyopencl/2012.1	Python wrapper for OpenCL	552nd	true
pyxml2obj	93,826	http://pypi.python.org/pypi/pyxml2obj/0.1.2.9	pyxml2obj convert xml to python object and vice versa. This module is inspired by XML::Simple in CPAN	553rd	false
bleach	93,796	http://pypi.python.org/pypi/bleach/1.2.1	An easy whitelist-based HTML-sanitizing tool.	554th	false
nexus	93,435	http://pypi.python.org/pypi/nexus/0.2.3	An extendable admin interface	555th	false
Products.contentmigration	93,122	http://pypi.python.org/pypi/Products.contentmigration/2.1.4	A generic content migration framework for Plone.	556th	false
plone.app.imaging	93,072	http://pypi.python.org/pypi/plone.app.imaging/1.0.7	User-configurable, blob-aware image scaling for Plone.	557th	false
zope.sequencesort	93,051	http://pypi.python.org/pypi/zope.sequencesort/4.0.1	Sequence Sorting	558th	false
Editra	92,958	http://pypi.python.org/pypi/Editra/0.7.20	Developer's Text Editor	559th	false
zope.app.generations	92,837	http://pypi.python.org/pypi/zope.app.generations/3.7.1	ZMI UI for zope.generations	560th	false
protobuf	92,658	http://pypi.python.org/pypi/protobuf/2.5.0	Protocol Buffers	561st	false
zope.authentication	92,542	http://pypi.python.org/pypi/zope.authentication/4.1.0	Definition of authentication basics for the Zope Framework	562nd	false
zope.browserpage	92,075	http://pypi.python.org/pypi/zope.browserpage/4.1.0a1	ZCML directives for configuring browser views for Zope.	563rd	false
django-crispy-forms	91,724	http://pypi.python.org/pypi/django-crispy-forms/1.2.8	Best way to have Django DRY forms	564th	false
HTSeq	91,695	http://pypi.python.org/pypi/HTSeq/0.5.4p3	A framework to process and analyze data from high-throughput sequencing (HTS) assays	565th	false
Scrapy	91,631	http://pypi.python.org/pypi/Scrapy/0.16.4	A high-level Python Screen Scraping framework	566th	false
collective.recipe.omelette	91,459	http://pypi.python.org/pypi/collective.recipe.omelette/0.16	Creates a unified directory structure of installed packages, symlinking to the actual contents, in order to ease navigation.	567th	true
zope.app.exception	91,368	http://pypi.python.org/pypi/zope.app.exception/3.6.3	Zope 3 exception views	568th	false
webassets	91,359	http://pypi.python.org/pypi/webassets/0.8	Media asset management for Python, with glue code for various web frameworks	569th	false
generateDS	91,190	http://pypi.python.org/pypi/generateDS/2.9a	Generate Python data structures and XML parser from Xschema	570th	false
grappelli_safe	91,157	http://pypi.python.org/pypi/grappelli_safe/0.2.21	A snapshot of the grappelli_2 branch of django-grappelli, packaged as a dependency for the Mezzanine CMS for Django.	571st	false
Flask-Script	91,106	http://pypi.python.org/pypi/Flask-Script/0.5.3	Scripting support for Flask	572nd	false
py-restclient	91,028	http://pypi.python.org/pypi/py-restclient/1.3.3	Python REST client	573rd	false
django-taggit	90,395	http://pypi.python.org/pypi/django-taggit/0.10a1	django-taggit is a reusable Django application for simple tagging.	574th	false
twitter	89,935	http://pypi.python.org/pypi/twitter/1.9.4	An API and command-line toolset for Twitter (twitter.com)	575th	true
zope.browserresource	89,860	http://pypi.python.org/pypi/zope.browserresource/4.0.1	Browser resources implementation for Zope.	576th	false
Flask-Login	89,816	http://pypi.python.org/pypi/Flask-Login/0.1.3	User session management for Flask	577th	false
rosdep	89,180	http://pypi.python.org/pypi/rosdep/0.10.18	rosdep system dependency installation tool	578th	false
Products.ZCatalog	89,061	http://pypi.python.org/pypi/Products.ZCatalog/3.0	Zope 2's indexing and search solution.	579th	false
django-fiber	88,780	http://pypi.python.org/pypi/django-fiber/0.10.3	Django Fiber - a simple, user-friendly CMS for all your Django projects	580th	false
google-api-python-client	88,743	http://pypi.python.org/pypi/google-api-python-client/1.1	Google API Client Library for Python	581st	false
zope.app.principalannotation	88,733	http://pypi.python.org/pypi/zope.app.principalannotation/3.7.1	Bootstrap subscriber and browser menu item for zope.principalannotation	582nd	false
pytest-runner	88,538	http://pypi.python.org/pypi/pytest-runner/1.2	UNKNOWN	583rd	false
blockdiag	88,355	http://pypi.python.org/pypi/blockdiag/1.2.4	blockdiag generate block-diagram image file from spec-text file.	584th	false
geopy	88,282	http://pypi.python.org/pypi/geopy/0.95.1	Python Geocoding Toolbox	585th	false
Products.TemplateFields	88,189	http://pypi.python.org/pypi/Products.TemplateFields/1.2.5	Supplies an Archetypes field useful for editing and storing Zope Page Templates	586th	false
zope.app.broken	88,188	http://pypi.python.org/pypi/zope.app.broken/3.6.0	Zope Broken (ZODB) Object Support	587th	false
pyquery	87,942	http://pypi.python.org/pypi/pyquery/1.2.4	A jquery-like library for python	588th	true
py2app	87,678	http://pypi.python.org/pypi/py2app/0.7.3	Create standalone Mac OS X applications with Python	589th	true
zope.app.rotterdam	87,594	http://pypi.python.org/pypi/zope.app.rotterdam/3.5.3	Rotterdam -- A Zope 3 ZMI Skin	590th	false
collective.monkeypatcher	87,492	http://pypi.python.org/pypi/collective.monkeypatcher/1.0.1	Support for applying monkey patches late in the startup cycle by using ZCML configuration actions	591st	false
hexagonit.recipe.cmmi	87,405	http://pypi.python.org/pypi/hexagonit.recipe.cmmi/2.0	zc.buildout recipe for compiling and installing source distributions.	592nd	false
poster	87,266	http://pypi.python.org/pypi/poster/0.8.1	Streaming HTTP uploads and multipart/form-data encoding	593rd	false
mox	87,114	http://pypi.python.org/pypi/mox/0.5.3	Mock object framework	594th	false
zope.app.error	87,113	http://pypi.python.org/pypi/zope.app.error/3.5.3	Error reporting utility management UI for Zope3	595th	false
zope.componentvocabulary	87,050	http://pypi.python.org/pypi/zope.componentvocabulary/2.0.0a1	Component vocabularies	596th	false
z3c.formwidget.query	86,924	http://pypi.python.org/pypi/z3c.formwidget.query/0.9	A source query widget for z3c.form.	597th	false
libprs500	86,433	http://pypi.python.org/pypi/libprs500/0.4.49	Ebook management application.	598th	false
Products.ZopeVersionControl	86,278	http://pypi.python.org/pypi/Products.ZopeVersionControl/1.1.3	Zope Version Control	599th	false
zope.copy	85,973	http://pypi.python.org/pypi/zope.copy/4.0.2	Pluggable object copying mechanism	600th	true
icalendar	85,913	http://pypi.python.org/pypi/icalendar/3.4	iCalendar parser/generator	601st	false
filebrowser_safe	85,813	http://pypi.python.org/pypi/filebrowser_safe/0.2.27	A snapshot of the filebrowser_3 branch of django-filebrowser, packaged as a dependency for the Mezzanine CMS for Django.	602nd	false
rpy2	85,719	http://pypi.python.org/pypi/rpy2/2.3.6	Python interface to the R language	603rd	true
zope.app.zopeappgenerations	85,701	http://pypi.python.org/pypi/zope.app.zopeappgenerations/3.5.1	Zope Application ZODB Update Generations	604th	false
python-magic	85,501	http://pypi.python.org/pypi/python-magic/0.4.3	File type identification using libmagic	605th	false
zope.app.renderer	85,359	http://pypi.python.org/pypi/zope.app.renderer/3.5.1	Text Renderer Framework	606th	false
UnittestZero	85,300	http://pypi.python.org/pypi/UnittestZero/0.1.8	A simple Assertion Framework	607th	false
plone.indexer	85,236	http://pypi.python.org/pypi/plone.indexer/1.0.2	Hooks to facilitate managing custom index values in Zope 2/CMF applications	608th	false
plonetheme.classic	85,233	http://pypi.python.org/pypi/plonetheme.classic/1.3.1	The classic Plone 3 default theme.	609th	false
repoze.tm2	85,048	http://pypi.python.org/pypi/repoze.tm2/2.0b1	Zope-like transaction manager via WSGI middleware	610th	false
improviser	84,997	http://pypi.python.org/pypi/improviser/0.8.6.3	Automatic music generation software	611th	false
twilio	84,765	http://pypi.python.org/pypi/twilio/3.4.5	Twilio API client and TwiML generator	612th	true
zLOG	84,095	http://pypi.python.org/pypi/zLOG/2.12.0	A general logging facility	613th	false
plone.supermodel	83,711	http://pypi.python.org/pypi/plone.supermodel/1.2.1	Serialize Zope schema definitions to and from XML	614th	false
URLObject	83,628	http://pypi.python.org/pypi/URLObject/2.3.4	A utility class for manipulating URLs.	615th	false
plone.recipe.command	83,525	http://pypi.python.org/pypi/plone.recipe.command/1.1	Run arbitrary commands from buildout	616th	false
datahaven	83,480	http://pypi.python.org/pypi/datahaven/rev7702	Distributed encrypted backup utility	617th	false
pyobjc-core	83,099	http://pypi.python.org/pypi/pyobjc-core/2.5.1	Python<->ObjC Interoperability Module	618th	true
castro	82,771	http://pypi.python.org/pypi/castro/1.0.6	Screencasting library	619th	false
collective.recipe.cmd	82,529	http://pypi.python.org/pypi/collective.recipe.cmd/0.6	ZC Buildout recipe to execute a commande line	620th	false
grok	82,526	http://pypi.python.org/pypi/grok/1.11.3	Grok: Now even cavemen can use Zope 3!	621st	false
slapos.libnetworkcache	82,343	http://pypi.python.org/pypi/slapos.libnetworkcache/0.13.4	libnetworkcache - Client for ShaCache and ShaDir HTTP Server	622nd	false
five.intid	82,300	http://pypi.python.org/pypi/five.intid/1.0.3	Zope2 support for zope.intid	623rd	false
Trac	82,260	http://pypi.python.org/pypi/Trac/0.12.5	Integrated SCM, wiki, issue tracker and project environment	624th	false
Pyro4	82,260	http://pypi.python.org/pypi/Pyro4/4.18	distributed object middleware for Python (RPC)	625th	true
grokcore.view	82,241	http://pypi.python.org/pypi/grokcore.view/2.8	Grok-like configuration for Zope browser pages	626th	false
django-countries	81,735	http://pypi.python.org/pypi/django-countries/1.5	Provides a country field for Django models.	627th	false
django-coverage	81,637	http://pypi.python.org/pypi/django-coverage/1.2.2	Django Test Coverage App	628th	false
CouchDB	81,484	http://pypi.python.org/pypi/CouchDB/0.9	Python library for working with CouchDB	629th	false
etm	81,249	http://pypi.python.org/pypi/etm/891	event and task manager	630th	false
PyChef	80,974	http://pypi.python.org/pypi/PyChef/0.2.1	Python implementation of a Chef API client.	631st	false
Missing	80,968	http://pypi.python.org/pypi/Missing/3.0	Special Missing objects used in Zope2.	632nd	false
calibre	80,937	http://pypi.python.org/pypi/calibre/0.6.16	E-book management application.	633rd	false
zope.app.interface	80,878	http://pypi.python.org/pypi/zope.app.interface/3.6.0	Zope Interface Extensions	634th	false
ClientForm	80,668	http://pypi.python.org/pypi/ClientForm/0.2.10	Client-side HTML form handling.	635th	false
py.saunter	80,583	http://pypi.python.org/pypi/py.saunter/0.62	An opinionated Selenium framework	636th	false
gargoyle	80,558	http://pypi.python.org/pypi/gargoyle/0.10.7	Gargoyle is a platform built on top of Django which allows you to switch functionality of your application on and off based on conditions.	637th	false
zope.password	80,501	http://pypi.python.org/pypi/zope.password/4.0.2	Password encoding and checking utilities	638th	false
Brownie	80,480	http://pypi.python.org/pypi/Brownie/0.5.1	Common utilities and datastructures for Python applications.	639th	false
hashlib	80,306	http://pypi.python.org/pypi/hashlib/20081119	Secure hash and message digest algorithm library	640th	false
networkx	80,258	http://pypi.python.org/pypi/networkx/1.7	Python package for creating and manipulating graphs and networks	641st	true
gensim	80,247	http://pypi.python.org/pypi/gensim/0.8.6	Python framework for fast Vector Space Modelling	642nd	false
zope.browsermenu	80,245	http://pypi.python.org/pypi/zope.browsermenu/4.1.0a1	Browser menu implementation for Zope.	643rd	false
martian	79,885	http://pypi.python.org/pypi/martian/0.14	Martian is a library that allows the embedding of configuration
information in Python code. Martian can then grok the system and
do the appropriate configuration registrations. One example of a system
that uses Martian is the system where it originated: Grok
(http://grok.zope.org)	644th	false
collective.dancing	79,862	http://pypi.python.org/pypi/collective.dancing/0.9.10	The all-singing all-dancing newsletter add-on for Plone.	645th	false
braintree	79,578	http://pypi.python.org/pypi/braintree/2.21.0	Braintree Python Library	646th	false
Record	79,417	http://pypi.python.org/pypi/Record/3.0	Special Record objects used in Zope2.	647th	false
initgroups	79,297	http://pypi.python.org/pypi/initgroups/2.13.0	Convenience uid/gid helper function used in Zope2.	648th	false
colander	79,226	http://pypi.python.org/pypi/colander/1.0a3	A simple schema-based serialization and deserialization library	649th	true
yay	78,930	http://pypi.python.org/pypi/yay/0.0.62	An extensible config file format	650th	false
django-celex-lexicon	78,739	http://pypi.python.org/pypi/django-celex-lexicon/0.1.94	UNKNOWN	651st	false
MultiMapping	78,498	http://pypi.python.org/pypi/MultiMapping/2.13.0	Special MultiMapping objects used in Zope2.	652nd	false
plone.app.registry	78,434	http://pypi.python.org/pypi/plone.app.registry/1.2.2	Zope 2 and Plone  integration for plone.registry	653rd	false
pynzb	78,404	http://pypi.python.org/pypi/pynzb/0.1.0	pynzb is a unified API for parsing NZB files, with several concrete implementations included	654th	false
PyScons	78,220	http://pypi.python.org/pypi/PyScons/1.0.87	An extension to Scons which enables dependency tracking on python script imports.	655th	false
vobject	78,158	http://pypi.python.org/pypi/vobject/0.8.1c	VObject: module for reading vCard and vCalendar files	656th	false
RhodeCode	78,084	http://pypi.python.org/pypi/RhodeCode/1.6.0	Mercurial repository browser/management with build in push/pull server and full text search	657th	false
z3c.pt	78,016	http://pypi.python.org/pypi/z3c.pt/3.0.0a1	Fast ZPT engine.	658th	false
zodbcode	77,973	http://pypi.python.org/pypi/zodbcode/3.4.0	Allows Python code to live in the ZODB	659th	false
ZopeUndo	77,726	http://pypi.python.org/pypi/ZopeUndo/4.0	ZODB undo support for Zope2.	660th	false
irc	77,715	http://pypi.python.org/pypi/irc/8.3	IRC (Internet Relay Chat) protocol client library for Python	661st	true
zope.ptresource	77,508	http://pypi.python.org/pypi/zope.ptresource/4.0.0a1	Page template resource plugin for zope.browserresource	662nd	false
pytest-mozwebqa	77,423	http://pypi.python.org/pypi/pytest-mozwebqa/1.0	Mozilla WebQA plugin for py.test.	663rd	false
TurboJson	77,328	http://pypi.python.org/pypi/TurboJson/1.3.2	Python template plugin that supports JSON	664th	false
pytest-cov	77,298	http://pypi.python.org/pypi/pytest-cov/1.6	py.test plugin for coverage reporting with support for both centralised and distributed testing, including subprocesses	665th	true
slapos.core	76,899	http://pypi.python.org/pypi/slapos.core/0.35.1	SlapOS core.	666th	false
django-uni-form	76,816	http://pypi.python.org/pypi/django-uni-form/0.9.0	django-uni-form	667th	false
django-devserver	76,740	http://pypi.python.org/pypi/django-devserver/0.6.2	Drop-in replacement for Django's runserver	668th	false
plone.reload	76,682	http://pypi.python.org/pypi/plone.reload/2.0	Configuration and code reload without server restarts.	669th	false
z3c.batching	76,675	http://pypi.python.org/pypi/z3c.batching/2.0.0	Batching	670th	false
dap	76,244	http://pypi.python.org/pypi/dap/2.2.6.7	DAP (Data Access Protocol) client and server for Python.	671st	false
couchdbkit	76,157	http://pypi.python.org/pypi/couchdbkit/0.6.4	Python couchdb kit	672nd	false
Elixir	76,085	http://pypi.python.org/pypi/Elixir/0.7.1	Declarative Mapper for SQLAlchemy	673rd	false
plone.scale	75,956	http://pypi.python.org/pypi/plone.scale/1.3.1	Image scaling	674th	false
jsmin	75,877	http://pypi.python.org/pypi/jsmin/2.0.2-1	JavaScript minifier.	675th	true
teamcity-messages	75,833	http://pypi.python.org/pypi/teamcity-messages/1.7	A unittest extension to send test result messages to TeamCity continuous integration server	676th	true
python-gettext	75,726	http://pypi.python.org/pypi/python-gettext/2.1	Python Gettext po to mo file compiler.	677th	true
